id,child,age,year_group,competition_order,age_group,country,gender,fairness1,fairness2,fairness3,fairness4,fairness5,fairness6,fairness7,fairness8,allocation1,allocation2,allocation3,allocation4,allocation5,allocation6,allocation7,allocation8,justification1,justification2,justification3,justification4,justification5,justification6,justification7,justification8
C4E01,55,69,Senior,competition first,Older,CN,Female,fair,fair,unfair,fair,fair,fair,fair,fair,Fair,Fair,UFdis,Fair,Fair,Fair,Fair,Fair,Norm,Norm,Affiliation,Norm,Norm,Norm,Norm,Norm
C4E02,56,75,Senior,competition first,Older,CN,Male,unfair,fair,unfair,fair,unfair,fair,unfair,fair,UFad,Fair,UFad,Fair,UFad,Fair,UFad,Fair,Desire,Affiliation,Affiliation,Norm,Uncodable,Norm,Affiliation,Norm
C4E03,57,75,Senior,competition first,Older,CN,Male,fair,fair,fair,fair,fair,fair,fair,fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C4E04,58,70,Senior,competition first,Older,CN,Female,unfair,fair,unfair,fair,fair,unfair,unfair,fair,UFad,Fair,UFad,Fair,Fair,UFad,UFdis,Fair,Desire,Norm,Desire,Norm,Norm,Desire,Norm,Norm
C4E05,59,70,Senior,competition first,Older,CN,Female,unfair,fair,fair,fair,fair,fair,fair,fair,UFad,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Desire,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C4E06,60,70,Senior,competition first,Older,CN,Female,fair,unfair,fair,fair,unfair,unfair,fair,unfair,Fair,UFdis,Fair,Fair,UFdis,UFad,Fair,UFdis,Desire,Desire,Desire,Desire,Desire,Desire,Norm,Desire
C4E07,61,70,Senior,competition first,Older,CN,Female,unfair,fair,unfair,fair,unfair,unfair,unfair,fair,UFad,Fair,UFad,Fair,UFad,UFad,UFad,Fair,Desire,Norm,Desire,Norm,Desire,Desire,Desire,Norm
C4E08,62,75,Senior,competition first,Older,CN,Female,unfair,fair,unfair,fair,fair,fair,unfair,fair,UFad,Fair,UFad,Fair,Fair,Fair,UFad,Fair,Desire,Norm,Desire,Norm,Norm,Norm,Desire,Norm
C4E09,63,74,Senior,competition first,Older,CN,Male,unfair,unfair,unfair,fair,fair,fair,unfair,fair,UFad,UFdis,UFad,Fair,Fair,Fair,UFad,Fair,Desire,Affiliation,Affiliation,Affiliation,Norm,Norm,Affiliation,Norm
C4E10,64,75,Senior,competition first,Older,CN,Male,unfair,unfair,unfair,unfair,unfair,unfair,unfair,unfair,UFad,UFad,UFad,UFad,UFad,UFad,UFad,UFad,Desire,Desire,Desire,Desire,Desire,Desire,Desire,Desire
